code_vcf	Species	Country	Passeport	lat_	Long_
DT	O._glaberrima	Nigeria	8	13.0214754	5.2237175
DV	O._glaberrima	Nigeria	46	13.0254448	5.2284874
EA	O._glaberrima	Mali	110	13.913333	-5.585278
EB	O._glaberrima	Liberia	126	6.99191	-9.267992
EC	O._glaberrima	Cote_d_Ivoire	150	9.46667	-6.36667
EE	O._glaberrima	Mali	160	11.316667	-5.666389
EH	O._glaberrima	Burkina_Faso	172	11.33333	-4.41667
EI	O._glaberrima	Gambie	187	13.4249704	-15.4199871
EK	O._glaberrima	Tanzania	208	-6	39.3
EL	O._glaberrima	Cote_d_Ivoire	411	9.516	-7.566
EM	O._glaberrima	Nigeria	6	13.0096016	5.2440646
EN	O._glaberrima	Nigeria	185	10.2603809	13.2605763
EP	O._glaberrima	Burkina_Faso	181	10.83333	-5.15
ER	O._glaberrima	Guinea	506_2	10.916389	-12.183333
ES	O._glaberrima	Guinea	276	10.65	-9.883333
ET	O._glaberrima	Cote_d_Ivoire	410	6.483	-6.583
EV	O._glaberrima	Guinea	212	7.963333	-8.771389
FC	O._glaberrima	Cameroon	168	10.41666667	13.61666667
FF	O._glaberrima	Nigeria	112	13.0329227	5.2249797
FG	O._glaberrima	Burkina_Faso	183	10.6503878	-5.1692752
FH	O._glaberrima	Cote_d_Ivoire	400	8.654	-3.783
FI	O._glaberrima	Senegal	487	12.6	-16.33333
FL	O._glaberrima	Senegal	122	12.792354	-16.211659
FP	O._glaberrima	Mali	159	12.833333	-5.783333
FQ	O._glaberrima	Nigeria	116	13.0544964	5.233243
FS	O._glaberrima	Cameroon	431	9.95	13.61667
FT	O._glaberrima	Mali	114	14.466667	-4.916389
FV	O._glaberrima	Cote_d_Ivoire	403	7.73	-7.61
GB	O._glaberrima	Cameroon	430	10.08333	13.51667
GC	O._glaberrima	Mali	438_2	14.262222	-5.829722
GD	O._glaberrima	Cote_d_Ivoire	402	7.26	-8.16
GE	O._glaberrima	Guinea	154	9.273056	-13.024167
GF	O._glaberrima	Guinea	258	10.183333	-14.066389
GH	O._glaberrima	Cote_d_Ivoire	297	8.654	-3.783
